Date,RPM (USD)
2026-08-11,2.623
2026-08-12,2.332
2026-08-13,2.519
2026-08-14,2.48
2026-08-15,2.429
2026-08-16,2.708
2026-08-17,2.677
2026-08-18,2.635
2026-08-19,2.412
2026-08-20,2.686
2026-08-21,2.333
2026-08-22,2.749
2026-08-23,2.605
2026-08-24,2.94
2026-08-25,2.939
2026-08-26,2.677
2026-08-27,2.804
2026-08-28,2.995
2026-08-29,2.874
2026-08-30,2.803
2026-08-31,3.132
2026-09-01,2.777
2026-09-02,3.057
2026-09-03,3.144
2026-09-04,3.014
2026-09-05,0
2026-09-06,0
2026-09-07,0
