Date,RPM (USD)
2026-08-09,3.234
2026-08-10,3.452
2026-08-11,3.398
2026-08-12,2.941
2026-08-13,3.374
2026-08-14,3.072
2026-08-15,3.299
2026-08-16,3.077
2026-08-17,3.295
2026-08-18,3.335
2026-08-19,3.05
2026-08-20,3.279
2026-08-21,3.424
2026-08-22,3.404
2026-08-23,3.331
2026-08-24,3.631
2026-08-25,3.81
2026-08-26,3.559
2026-08-27,3.915
2026-08-28,4.088
2026-08-29,4.007
2026-08-30,4.122
2026-08-31,3.982
2026-09-01,4.105
2026-09-02,4.157
2026-09-03,0
2026-09-04,0
2026-09-05,0
