Date,RPM (USD)
2026-08-09,6.941
2026-08-10,7.116
2026-08-11,7.224
2026-08-12,7.752
2026-08-13,8.586
2026-08-14,7.578
2026-08-15,8.204
2026-08-16,8.601
2026-08-17,8.47
2026-08-18,8.741
2026-08-19,8.693
2026-08-20,8.43
2026-08-21,8.986
2026-08-22,8.179
2026-08-23,7.78
2026-08-24,7.671
2026-08-25,8.271
2026-08-26,9.244
2026-08-27,9.814
2026-08-28,9.575
2026-08-29,8.734
2026-08-30,8.873
2026-08-31,8.432
2026-09-01,8.921
2026-09-02,8.732
2026-09-03,0
2026-09-04,0
2026-09-05,0
